,legal_code,region_name,petHosp_cnt,income_lv,medi_expense,pet_count,abandoned_cnt
0,0,기타,248,3061.6617,,13964.0,532
1,1100000000,서울특별시,1958,5483.0218,275916.0061,549964.0,5143
2,2100000000,부산직할시,448,3063.6275,287064.9861,198903.0,6693
3,2200000000,대구직할시,369,3334.6057,302502.2168,127867.0,4329
4,2300000000,인천직할시,455,3052.7888,288741.4857,197713.0,5763
5,2400000000,광주직할시,214,2717.7884,373200.9346,67236.0,3222
6,2500000000,대전직할시,247,3590.711,315404.7733,94740.0,2042
7,3100000000,울산광역시,130,3064.8306,366589.6385,57979.0,2888
8,4100000000,경기도,2370,2544.9204,292728.519,895882.0,23394
9,4200000000,강원도,266,2033.2783,333404.8213,96622.0,5471
10,4300000000,충청북도,252,1791.0733,242194.1667,91405.0,4202
11,4400000000,충청남도,415,2041.4418,330487.395,114092.0,8233
12,4500000000,전라북도,385,1513.6978,312748.9885,79266.0,8488
13,4600000000,전라남도,323,1520.0015,340916.6667,85640.0,8785
14,4700000000,경상북도,527,1734.5108,287337.4613,116878.0,9382
15,4800000000,경상남도,604,1888.3727,303636.3636,165192.0,11924
16,4900000000,제주도,202,2742.2011,350000.0,53438.0,5157
